order_id,product_sk,order_item_id,quantity,unit_price,line_total
1000000000,2,5000000000,2,15000.0,30000.0
1000000000,1,5000000001,2,12000.0,24000.0
1000000001,1,5000000002,1,12000.0,12000.0
1000000001,2,5000000003,2,15000.0,30000.0
1000000001,1,5000000004,2,12600.0,25200.0
1000000002,1,5000000005,1,12000.0,12000.0
1000000002,2,5000000006,1,15000.0,15000.0
1000000003,1,5000000007,1,12000.0,12000.0
1000000003,2,5000000008,1,15000.0,15000.0
1000000004,2,5000000009,2,15750.0,31500.0
1000000004,2,5000000010,1,15000.0,15000.0
1000000005,1,5000000011,2,12000.0,24000.0
1000000006,2,5000000012,1,15000.0,15000.0
1000000007,2,5000000013,1,15000.0,15000.0
1000000008,1,5000000014,3,12000.0,36000.0
1000000008,2,5000000015,3,15000.0,45000.0
1000000008,1,5000000016,1,12600.0,12600.0
1000000009,2,5000000017,1,13500.0,13500.0
1000000010,2,5000000018,1,15000.0,15000.0
1000000011,2,5000000019,1,15000.0,15000.0
1000000011,1,5000000020,2,10800.0,21600.0
1000000012,1,5000000021,3,12000.0,36000.0
1000000013,2,5000000022,3,15750.0,47250.0
1000000013,1,5000000023,3,12000.0,36000.0
1000000013,1,5000000024,2,12000.0,24000.0
1000000014,1,5000000025,1,12000.0,12000.0
1000000015,1,5000000026,2,12000.0,24000.0
1000000016,1,5000000027,2,12600.0,25200.0
1000000017,2,5000000028,2,15750.0,31500.0
1000000017,1,5000000029,3,12000.0,36000.0
1000000018,2,5000000030,1,13500.0,13500.0
1000000018,1,5000000031,2,13200.0,26400.0
1000000018,2,5000000032,3,15000.0,45000.0
1000000019,1,5000000033,3,12600.0,37800.0
1000000020,2,5000000034,3,16500.0,49500.0
1000000021,1,5000000035,2,12000.0,24000.0
1000000022,1,5000000036,2,12000.0,24000.0
1000000023,2,5000000037,2,15000.0,30000.0
1000000023,1,5000000038,1,12000.0,12000.0
1000000023,2,5000000039,2,15000.0,30000.0
1000000024,1,5000000040,1,12000.0,12000.0
1000000025,2,5000000041,3,15750.0,47250.0
1000000025,1,5000000042,2,12600.0,25200.0
1000000026,2,5000000043,1,15000.0,15000.0
1000000027,1,5000000044,2,12000.0,24000.0
1000000028,1,5000000045,1,12000.0,12000.0
1000000029,2,5000000046,2,16500.0,33000.0
1000000029,1,5000000047,3,12000.0,36000.0
1000000030,1,5000000048,3,12000.0,36000.0
1000000031,1,5000000049,2,12000.0,24000.0
1000000032,2,5000000050,2,15000.0,30000.0
1000000033,2,5000000051,1,15000.0,15000.0
1000000034,2,5000000052,3,15750.0,47250.0
1000000034,2,5000000053,3,15000.0,45000.0
1000000035,1,5000000054,2,12000.0,24000.0
1000000036,1,5000000055,2,12000.0,24000.0
1000000036,2,5000000056,2,15000.0,30000.0
1000000037,1,5000000057,2,12600.0,25200.0
1000000038,1,5000000058,1,12000.0,12000.0
1000000039,1,5000000059,3,10800.0,32400.0
1000000039,2,5000000060,2,15000.0,30000.0
1000000040,1,5000000061,1,12000.0,12000.0
1000000041,2,5000000062,1,15000.0,15000.0
1000000041,1,5000000063,1,10800.0,10800.0
1000000042,1,5000000064,1,10800.0,10800.0
1000000043,1,5000000065,3,13200.0,39600.0
1000000044,2,5000000066,2,15000.0,30000.0
1000000044,2,5000000067,3,15000.0,45000.0
1000000045,1,5000000068,3,12000.0,36000.0
1000000046,2,5000000069,2,16500.0,33000.0
1000000047,1,5000000070,1,12000.0,12000.0
1000000048,1,5000000071,2,12000.0,24000.0
1000000049,2,5000000072,3,13500.0,40500.0
1000000050,2,5000000073,2,15000.0,30000.0
1000000051,2,5000000074,2,15750.0,31500.0
1000000052,1,5000000075,3,12000.0,36000.0
1000000052,1,5000000076,3,12000.0,36000.0
1000000053,2,5000000077,2,15000.0,30000.0
1000000054,1,5000000078,1,12600.0,12600.0
1000000055,2,5000000079,3,15000.0,45000.0
1000000056,1,5000000080,2,12000.0,24000.0
1000000056,2,5000000081,3,16500.0,49500.0
1000000057,2,5000000082,1,15000.0,15000.0
1000000057,2,5000000083,1,15750.0,15750.0
1000000058,2,5000000084,1,16500.0,16500.0
1000000058,2,5000000085,2,15000.0,30000.0
1000000059,1,5000000086,3,12000.0,36000.0
1000000059,2,5000000087,2,15000.0,30000.0
1000000060,1,5000000088,3,10800.0,32400.0
1000000061,1,5000000089,1,12000.0,12000.0
1000000062,2,5000000090,3,15000.0,45000.0
1000000063,1,5000000091,3,12600.0,37800.0
1000000064,2,5000000092,1,16500.0,16500.0
1000000065,1,5000000093,3,12000.0,36000.0
1000000066,1,5000000094,3,12000.0,36000.0
1000000067,2,5000000095,1,15000.0,15000.0
1000000068,2,5000000096,1,15750.0,15750.0
1000000068,1,5000000097,2,12000.0,24000.0
1000000068,2,5000000098,3,15000.0,45000.0
1000000069,2,5000000099,3,15000.0,45000.0
1000000070,1,5000000100,1,12000.0,12000.0
1000000071,1,5000000101,1,12000.0,12000.0
1000000072,2,5000000102,1,13500.0,13500.0
1000000073,2,5000000103,1,15750.0,15750.0
1000000074,1,5000000104,2,12600.0,25200.0
1000000074,1,5000000105,3,12000.0,36000.0
1000000075,2,5000000106,2,15000.0,30000.0
1000000076,1,5000000107,2,12000.0,24000.0
1000000077,1,5000000108,2,12000.0,24000.0
1000000078,2,5000000109,1,15000.0,15000.0
1000000078,1,5000000110,2,13200.0,26400.0
1000000079,1,5000000111,1,10800.0,10800.0
1000000079,1,5000000112,2,12000.0,24000.0
1000000080,2,5000000113,1,15000.0,15000.0
1000000081,1,5000000114,2,12000.0,24000.0
1000000081,2,5000000115,2,15000.0,30000.0
1000000082,1,5000000116,3,12000.0,36000.0
1000000083,2,5000000117,1,16500.0,16500.0
1000000083,1,5000000118,2,12000.0,24000.0
1000000084,2,5000000119,1,15000.0,15000.0
1000000085,1,5000000120,1,12600.0,12600.0
1000000086,1,5000000121,1,12000.0,12000.0
1000000087,1,5000000122,1,12000.0,12000.0
1000000088,2,5000000123,2,15000.0,30000.0
1000000088,2,5000000124,2,15000.0,30000.0
1000000089,2,5000000125,1,15000.0,15000.0
1000000090,1,5000000126,2,12000.0,24000.0
1000000090,2,5000000127,1,13500.0,13500.0
1000000091,2,5000000128,3,15750.0,47250.0
1000000091,2,5000000129,3,15750.0,47250.0
1000000092,2,5000000130,2,15000.0,30000.0
1000000093,2,5000000131,3,15000.0,45000.0
1000000093,1,5000000132,2,12000.0,24000.0
1000000093,2,5000000133,1,16500.0,16500.0
1000000094,1,5000000134,3,12000.0,36000.0
1000000094,2,5000000135,3,13500.0,40500.0
1000000095,2,5000000136,3,16500.0,49500.0
1000000096,1,5000000137,3,12000.0,36000.0
1000000097,2,5000000138,1,15750.0,15750.0
1000000098,1,5000000139,3,12600.0,37800.0
1000000099,1,5000000140,1,12000.0,12000.0
1000000100,1,5000000141,1,10800.0,10800.0
1000000100,1,5000000142,1,12600.0,12600.0
1000000101,1,5000000143,3,12000.0,36000.0
1000000102,1,5000000144,3,12000.0,36000.0
1000000103,1,5000000145,3,10800.0,32400.0
1000000104,2,5000000146,2,15000.0,30000.0
1000000105,1,5000000147,2,12000.0,24000.0
1000000106,2,5000000148,1,15000.0,15000.0
1000000107,1,5000000149,3,12600.0,37800.0
1000000108,2,5000000150,3,15750.0,47250.0
1000000109,1,5000000151,2,12000.0,24000.0
1000000109,1,5000000152,1,12000.0,12000.0
1000000110,1,5000000153,2,12000.0,24000.0
1000000110,2,5000000154,3,16500.0,49500.0
1000000111,2,5000000155,1,15750.0,15750.0
1000000112,1,5000000156,3,12600.0,37800.0
1000000112,2,5000000157,3,15000.0,45000.0
1000000113,1,5000000158,1,13200.0,13200.0
1000000114,1,5000000159,1,10800.0,10800.0
1000000115,1,5000000160,2,12000.0,24000.0
1000000116,1,5000000161,3,13200.0,39600.0
1000000117,1,5000000162,2,12000.0,24000.0
1000000118,1,5000000163,3,13200.0,39600.0
1000000119,2,5000000164,1,15000.0,15000.0
1000000120,1,5000000165,1,12000.0,12000.0
1000000121,1,5000000166,3,13200.0,39600.0
1000000122,1,5000000167,3,12000.0,36000.0
1000000123,2,5000000168,1,15000.0,15000.0
1000000124,1,5000000169,1,10800.0,10800.0
1000000124,2,5000000170,3,15000.0,45000.0
1000000125,2,5000000171,3,15000.0,45000.0
1000000125,1,5000000172,1,12000.0,12000.0
1000000126,2,5000000173,1,15000.0,15000.0
1000000127,2,5000000174,2,15000.0,30000.0
1000000127,2,5000000175,2,15750.0,31500.0
1000000128,1,5000000176,1,10800.0,10800.0
1000000128,2,5000000177,3,15000.0,45000.0
1000000128,1,5000000178,3,12000.0,36000.0
1000000129,1,5000000179,3,12000.0,36000.0
1000000129,2,5000000180,2,15000.0,30000.0
1000000130,2,5000000181,1,13500.0,13500.0
1000000131,1,5000000182,3,13200.0,39600.0
1000000132,2,5000000183,2,13500.0,27000.0
1000000133,2,5000000184,1,15000.0,15000.0
1000000134,1,5000000185,3,12000.0,36000.0
1000000134,2,5000000186,2,15000.0,30000.0
1000000135,1,5000000187,1,12000.0,12000.0
1000000135,1,5000000188,2,10800.0,21600.0
1000000136,2,5000000189,2,15000.0,30000.0
1000000137,1,5000000190,1,12000.0,12000.0
1000000138,1,5000000191,3,12000.0,36000.0
1000000139,2,5000000192,1,15000.0,15000.0
1000000140,2,5000000193,1,13500.0,13500.0
1000000141,1,5000000194,1,13200.0,13200.0
1000000142,2,5000000195,1,15000.0,15000.0
1000000142,1,5000000196,1,13200.0,13200.0
1000000142,1,5000000197,2,12000.0,24000.0
1000000143,1,5000000198,3,12000.0,36000.0
1000000143,1,5000000199,3,12000.0,36000.0
1000000144,2,5000000200,2,16500.0,33000.0
1000000145,2,5000000201,2,15000.0,30000.0
1000000146,2,5000000202,3,15750.0,47250.0
1000000146,1,5000000203,3,12600.0,37800.0
1000000147,2,5000000204,2,16500.0,33000.0
1000000147,2,5000000205,2,15000.0,30000.0
1000000148,1,5000000206,3,12000.0,36000.0
1000000149,2,5000000207,1,15000.0,15000.0
1000000150,2,5000000208,2,16500.0,33000.0
1000000151,1,5000000209,3,12000.0,36000.0
1000000152,1,5000000210,1,10800.0,10800.0
1000000153,1,5000000211,1,12000.0,12000.0
1000000154,2,5000000212,3,15750.0,47250.0
1000000155,1,5000000213,1,12000.0,12000.0
1000000156,2,5000000214,3,15000.0,45000.0
1000000157,1,5000000215,1,12000.0,12000.0
1000000157,2,5000000216,3,15750.0,47250.0
1000000158,2,5000000217,2,15000.0,30000.0
1000000159,1,5000000218,1,12600.0,12600.0
1000000160,2,5000000219,2,15000.0,30000.0
1000000161,2,5000000220,3,15000.0,45000.0
1000000162,1,5000000221,2,12000.0,24000.0
1000000163,1,5000000222,2,10800.0,21600.0
1000000164,1,5000000223,3,12000.0,36000.0
1000000164,2,5000000224,2,15000.0,30000.0
1000000165,1,5000000225,2,12000.0,24000.0
1000000166,2,5000000226,1,15000.0,15000.0
1000000166,2,5000000227,2,15750.0,31500.0
1000000167,2,5000000228,1,13500.0,13500.0
1000000167,1,5000000229,1,10800.0,10800.0
1000000167,1,5000000230,2,12000.0,24000.0
1000000168,2,5000000231,3,13500.0,40500.0
1000000169,1,5000000232,1,12000.0,12000.0
1000000170,2,5000000233,2,15000.0,30000.0
1000000171,1,5000000234,1,12000.0,12000.0
1000000172,1,5000000235,2,12000.0,24000.0
1000000173,2,5000000236,2,15750.0,31500.0
1000000174,1,5000000237,1,12000.0,12000.0
1000000175,1,5000000238,1,12000.0,12000.0
1000000176,2,5000000239,1,16500.0,16500.0
1000000177,2,5000000240,1,13500.0,13500.0
1000000178,2,5000000241,1,15000.0,15000.0
1000000179,2,5000000242,3,15000.0,45000.0
