order_id,date_sk,date,year,month,channel_code,channel_name,province_name,product_name,category_name,quantity,unit_price,line_total,total_amount,tax_amount,payment_amount,status,store_name,customer_sk,nps_score
1000000000,6201,2024-11-26 07:50:47,2024,11,ONLINE,Tienda Online,,Sport B Bottle,Sport,2,15000.0,30000.0,63636.0,10836.0,63636.0,FULFILLED,,356,6.5
1000000000,6201,2024-11-26 07:50:47,2024,11,ONLINE,Tienda Online,,Classic A Bottle,Classic,2,12000.0,24000.0,63636.0,10836.0,63636.0,FULFILLED,,356,6.5
1000000001,544,2024-01-31 01:00:04,2024,1,ONLINE,Tienda Online,,Classic A Bottle,Classic,1,12000.0,12000.0,78146.4,13406.4,78146.4,CREATED,,601,8.333333333333334
1000000001,544,2024-01-31 01:00:04,2024,1,ONLINE,Tienda Online,,Sport B Bottle,Sport,2,15000.0,30000.0,78146.4,13406.4,78146.4,CREATED,,601,8.333333333333334
1000000001,544,2024-01-31 01:00:04,2024,1,ONLINE,Tienda Online,,Classic A Bottle,Classic,2,12600.0,25200.0,78146.4,13406.4,78146.4,CREATED,,601,8.333333333333334
1000000002,7960,2025-02-26 19:39:44,2025,2,ONLINE,Tienda Online,,Classic A Bottle,Classic,1,12000.0,12000.0,32064.6,5304.6,32064.6,FULFILLED,,1234,7.8
1000000002,7960,2025-02-26 19:39:44,2025,2,ONLINE,Tienda Online,,Sport B Bottle,Sport,1,15000.0,15000.0,32064.6,5304.6,32064.6,FULFILLED,,1234,7.8
1000000003,8012,2025-03-01 17:35:36,2025,3,ONLINE,Tienda Online,,Classic A Bottle,Classic,1,12000.0,12000.0,30855.0,5355.0,30855.0,FULFILLED,,156,5.5
1000000003,8012,2025-03-01 17:35:36,2025,3,ONLINE,Tienda Online,,Sport B Bottle,Sport,1,15000.0,15000.0,30855.0,5355.0,30855.0,FULFILLED,,156,5.5
1000000004,1626,2024-03-30 02:46:36,2024,3,OFFLINE,Tiendas Físicas,Mendoza,Sport B Bottle,Sport,2,15750.0,31500.0,53451.75,9276.75,53451.75,FULFILLED,Tienda MZA,616,5.666666666666667
1000000004,1626,2024-03-30 02:46:36,2024,3,OFFLINE,Tiendas Físicas,Mendoza,Sport B Bottle,Sport,1,15000.0,15000.0,53451.75,9276.75,53451.75,FULFILLED,Tienda MZA,616,5.666666666666667
1000000005,1295,2024-03-12 20:54:35,2024,3,OFFLINE,Tiendas Físicas,Córdoba,Classic A Bottle,Classic,2,12000.0,24000.0,29040.0,5040.0,29040.0,FULFILLED,Tienda CBA,614,9.5
1000000006,10561,2025-07-15 22:55:56,2025,7,ONLINE,Tienda Online,,Sport B Bottle,Sport,1,15000.0,15000.0,18442.5,2992.5,18442.5,REFUNDED,,188,8.5
1000000007,5940,2024-11-11 20:15:00,2024,11,ONLINE,Tienda Online,,Sport B Bottle,Sport,1,15000.0,15000.0,17535.0,2835.0,17535.0,FULFILLED,,17,
1000000008,4410,2024-08-25 03:29:28,2024,8,ONLINE,Tienda Online,,Classic A Bottle,Classic,3,12000.0,36000.0,109011.0,18711.0,109011.0,FULFILLED,,1148,8.5
1000000008,4410,2024-08-25 03:29:28,2024,8,ONLINE,Tienda Online,,Sport B Bottle,Sport,3,15000.0,45000.0,109011.0,18711.0,109011.0,FULFILLED,,1148,8.5
1000000008,4410,2024-08-25 03:29:28,2024,8,ONLINE,Tienda Online,,Classic A Bottle,Classic,1,12600.0,12600.0,109011.0,18711.0,109011.0,FULFILLED,,1148,8.5
1000000009,1630,2024-03-30 10:34:46,2024,3,ONLINE,Tienda Online,,Sport B Bottle,Sport,1,13500.0,13500.0,16718.25,2693.25,16718.25,PAID,,1037,3.0
